fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Wine Type
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,R
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,R
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,R
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,R
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,R
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,R
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,R
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,R
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,R
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,R
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,R
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,R
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,R
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,R
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,R
7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,R
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,R
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,R
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,R
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,R
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,R
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,R
